id,datetime,chA_VIR_Recipe_Name,chA_VIR_Step_Name,chA_Recipe_Curr_Chamber_Status,chA_VIR_Step_Number,chA_Recipe_ProcessTimeELPS,chA_Recipe_Step_Actual_Time,chA_Recipe_CurrStep_MaxStepTime,chA_Recipe_CurrStep_EndPoint,DeviceID,Communication State,ControlState,ChangedECID,ChangedECVal,CTC_chA_WaferNo,CTC_chA_WaferProductCount,CTC_chA_WaferTotalProductCount,CTC_chA_CarrID,CTC_chA_LotID,CTC_chA_SeqRcpID,CTC_chA_ProcRcpID,CTC_chA_PeriodicSoFarThickness,CTC_chA_SequenceSoFarThickness,CTC_chA_PeriodicSoFar,chA_AO_mfc1_setpoint_SiH2Cl2,chA_AI_mfc1_flow_SiH2Cl2,chA_AO_mfc2_setpoint_Si2H6,chA_AI_mfc2_flow_Si2H6,chA_AO_mfc3_setpoint_N2O,chA_AI_mfc3_flow_N2O,chA_AO_mfc4_setpoint,chA_AI_mfc4_flow,chA_AO_mfc5_setpoint,chA_AI_mfc5_flow,chA_AO_mfc6_setpoint,chA_AI_mfc6_flow,chA_AO_mfc7_setpoint,chA_AI_mfc7_flow,chA_AO_mfc8_setpoint_NF3,chA_AI_mfc8_flow_NF3,chA_AO_mfc9_setpoint_Ar,chA_AI_mfc9_flow_Ar,chA_AO_mfc10_setpoint_TN2,chA_AI_mfc10_flow_TN2,chA_AO_mfc11_setpoint_BN2,chA_AI_mfc11_flow_BN2,chA_AO_mfc12_setpoint,chA_AI_mfc12_flow,chA_AO_RPS_Power_Setpoint,chA_AI_RPS_Delivery_Power,chA_AI_Heater_Current_Center,chA_AI_Heater_Voltage_Center,chA_AI_HEATER_CURRENT_EDGE,chA_AI_HEATER_VOLTAGE_EDGE,chA_VIR_Heater_Temp_Set,chA_VIR_Heater_Temp,chA_VIR_APC_Setpoint,chA_VIR_APC_Position,chA_VIR_APC_STEP,chA_AI_Leak_Gauge_Pressure,chA_AI_Manometer_Pressure,chA_AI_ATM_Pressure,chA_AI_Foreline_TC_Pressure,TMC_VIR_chA_Pressure,chA_VIR_HeatExchanger_Temp_Set,chA_VIR_HeatExchanger_Temp,chA_VIR_HeatExchanger_Resist,chA_VIR_Heater_Power_Center,chA_VIR_Heater_Power_Edge,chA_VIR_Heater_Center_Edge_Power_Rate,RF POWER ON/OFF,USER RF SET,FORWARD POWER,REFLECT POWER,RF OFF/ON And ALARM,PRESET1 C1(Load),C1(LOAD) POSITION STATUS,PRESET1 C2(Tune),C2(TUNE) POSITION STATUS,C3(AUX) POSITION STATUS,OUTPUT VDC STATUS,OUTPUT VOLTAGE,OUTPUT CURRENT
40933,23/06/26 13:30:00,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.04,0,-11.37,0,0,0,0,0,0,0,0,0,0.61,0,-1.22,0,4.06,0,1.7,0,0,0,0,9.6,61,9.6,61,400,400,OPEN,OPEN,100,7.9,1,183.1,36.6,7,65,65.0219834,22960429.9,585.6,585.6,1,,,,,0,30,30,75,75,0,0,0,0
40934,23/06/26 13:30:01,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.08,0,-9.74,0,0,0,0,0,0,0,0,0,0.41,0,-1.01,0,4.46,0,1.62,0,0,0,0,9.6,60.9,9.6,60.9,400,400,OPEN,OPEN,100,7.9,1,183.1,36.6,7,65,64.9242794,22960429.9,584.64,584.64,1,,,,,0,30,30,75,75,0,0,0,0
40935,23/06/26 13:30:02,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.04,0,-8.12,0,0,0,0,0,0,0,0,0,0.2,0,-1.22,0,4.06,0,1.58,0,0,0,0,9.6,60.8,9.6,60.7,400,400,OPEN,OPEN,100,7.9,1,183.1,36.6,7,65,64.9242794,22960429.9,583.68,583.68,1,,,,,0,30,30,75,75,0,0,0,0
40936,23/06/26 13:30:03,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.08,0,-10.55,0,0,0,0,0,0,0,0,0,0.41,0,-1.22,0,4.06,0,1.62,0,0,0,0,9.6,60.6,9.6,60.6,400,400,OPEN,OPEN,100,8.5,1,183.1,36.6,7,65,64.9242794,22960429.9,581.76,582.72,1.0016502,,,,,0,30,30,75,75,0,0,0,0
40937,23/06/26 13:30:04,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.04,0,-9.74,0,0,0,0,0,0,0,0,0,0.61,0,-0.41,0,4.06,0,1.62,0,0,0,0,9.6,60.6,9.6,60.6,400,400,OPEN,OPEN,100,8.5,1,183.1,36.6,8,65,64.9242794,22960429.9,581.76,581.76,1,,,,,0,30,30,75,75,0,0,0,0
40938,23/06/26 13:30:05,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.04,0,-9.74,0,0,0,0,0,0,0,0,0,0.61,0,-0.41,0,4.06,0,1.62,0,0,0,0,9.6,60.6,9.6,60.6,400,400,OPEN,OPEN,100,8.5,1,183.1,36.6,8,65,64.9242794,22960429.9,581.76,581.76,1,,,,,0,30,30,75,75,0,0,0,0
40939,23/06/26 13:30:06,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.08,0,-9.74,0,0,0,0,0,0,0,0,0,0.61,0,-1.62,0,3.65,0,1.58,0,0,0,0,9.6,61,9.6,61,400,400,OPEN,OPEN,100,7.9,1,183.1,36.6,8,65,64.9242794,22960429.9,585.6,585.6,1,,,,,0,30,30,75,75,0,0,0,0
40940,23/06/26 13:30:07,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.06,0,-9.74,0,0,0,0,0,0,0,0,0,0.61,0,-1.42,0,3.65,0,1.62,0,0,0,0,9.6,61,9.6,61,400,400,OPEN,OPEN,100,7.9,1,122.1,36.6,7,65,65.0219834,22960429.9,585.6,585.6,1,,,,,0,30,30,75,75,0,0,0,0
40941,23/06/26 13:30:08,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.08,0,-10.55,0,0,0,0,0,0,0,0,0,0.61,0,-1.22,0,3.25,0,1.54,0,0,0,0,9.6,60.8,9.6,60.8,400,400,OPEN,OPEN,100,7.9,1,183.1,36.6,7,65,65.0219834,22960429.9,583.68,583.68,1,,,,,0,30,30,75,75,0,0,0,0
40942,23/06/26 13:30:09,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.06,0,-9.74,0,0,0,0,0,0,0,0,0,0.61,0,-1.22,0,3.65,0,1.62,0,0,0,0,9.6,60.9,9.6,60.9,400,400,OPEN,OPEN,100,7.9,1,183.1,37.8,7,65,65.1196873,22960429.9,584.64,584.64,1,,,,,0,30,30,75,75,0,0,0,0
40943,23/06/26 13:30:10,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.06,0,-10.55,0,0,0,0,0,0,0,0,0,0.61,0,-1.62,0,3.65,0,1.54,0,0,0,0,9.6,60.8,9.6,60.8,400,400,OPEN,OPEN,100,8.5,1,183.1,36.6,7,65,65.1196873,22960429.9,583.68,583.68,1,,,,,0,30,30,75,75,0,0,0,0
40944,23/06/26 13:30:11,,,Idle,0,--,0,0,,0,2,4,0,,0,1068,131477,,,,,5000,0,1053,0,0,0,-0.04,0,-9.74,0,0,0,0,0,0,0,0,0,0.41,0,-1.83,0,4.06,0,1.62,0,0,0,0,9.6,60.9,9.6,60.9,400,400,OPEN,OPEN,100,7.9,1,183.1,36.6,8,65,65.1196873,22960429.9,584.64,584.64,1,,,,,0,30,30,75,75,0,0,0,0
