datetime,chA_VIR_Recipe_Name,chA_VIR_Step_Name,chA_Recipe_Curr_Chamber_Status,chA_AO_mfc1_setpoint_SiH2Cl2,chA_AI_mfc1_flow_SiH2Cl2,chA_AO_mfc2_setpoint_N2O,chA_AI_mfc2_flow_N2O,chA_VIR_Heater_Temp_Set,chA_VIR_Heater_Temp,chA_AO_RPS_Power_Setpoint,chA_AI_RPS_Delivery_Power
23/06/26 13:30:00,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,-0.24,0.0,0.24,380.0,379.85,0.0,-2.4
23/06/26 13:30:01,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,-0.12,0.0,0.12,380.0,379.9,0.0,-1.6
23/06/26 13:30:02,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.0,0.0,0.0,380.0,379.95,0.0,-0.8
23/06/26 13:30:03,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.12,0.0,-0.12,380.0,380.0,0.0,0.0
23/06/26 13:30:04,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.24,0.0,-0.24,380.0,380.05,0.0,0.8
23/06/26 13:30:05,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,-0.24,0.0,0.24,380.0,380.1,0.0,1.6
23/06/26 13:30:06,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,-0.12,0.0,0.12,380.0,380.15,0.0,-2.4
23/06/26 13:30:07,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.0,0.0,0.0,380.0,379.85,0.0,-1.6
23/06/26 13:30:08,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.12,0.0,-0.12,380.0,379.9,0.0,-0.8
23/06/26 13:30:09,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.24,0.0,-0.24,380.0,379.95,0.0,0.0
23/06/26 13:30:10,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,-0.24,0.0,0.24,380.0,380.0,0.0,0.8
23/06/26 13:30:11,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,-0.12,0.0,0.12,380.0,380.05,0.0,1.6
23/06/26 13:30:12,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.0,0.0,0.0,380.0,380.1,0.0,-2.4
23/06/26 13:30:13,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.12,0.0,-0.12,380.0,380.15,0.0,-1.6
23/06/26 13:30:14,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.24,0.0,-0.24,380.0,379.85,0.0,-0.8
23/06/26 13:30:15,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,-0.24,0.0,0.24,380.0,379.9,0.0,0.0
23/06/26 13:30:16,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,-0.12,0.0,0.12,380.0,379.95,0.0,0.8
23/06/26 13:30:17,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.0,0.0,0.0,380.0,380.0,0.0,1.6
23/06/26 13:30:18,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.12,0.0,-0.12,380.0,380.05,0.0,-2.4
23/06/26 13:30:19,DEMO_PECVD_OXIDE,Preheat,Idle,0.0,0.24,0.0,-0.24,380.0,380.1,0.0,-1.6
23/06/26 13:30:20,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.76,260.0,260.24,400.0,400.15,900.0,899.2
23/06/26 13:30:21,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.88,260.0,260.12,400.0,399.85,900.0,900.0
23/06/26 13:30:22,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.0,260.0,260.0,400.0,399.9,900.0,900.8
23/06/26 13:30:23,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.12,260.0,259.88,400.0,399.95,900.0,901.6
23/06/26 13:30:24,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.24,260.0,259.76,400.0,400.0,900.0,897.6
23/06/26 13:30:25,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.76,260.0,260.24,400.0,400.05,900.0,898.4
23/06/26 13:30:26,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.88,260.0,260.12,400.0,400.1,900.0,899.2
23/06/26 13:30:27,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.0,260.0,260.0,400.0,400.15,900.0,900.0
23/06/26 13:30:28,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.12,260.0,259.88,400.0,399.85,900.0,900.8
23/06/26 13:30:29,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.24,260.0,259.76,400.0,399.9,900.0,901.6
23/06/26 13:30:30,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.76,260.0,260.24,400.0,399.95,900.0,897.6
23/06/26 13:30:31,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.88,260.0,260.12,400.0,400.0,900.0,898.4
23/06/26 13:30:32,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.0,260.0,260.0,400.0,400.05,900.0,899.2
23/06/26 13:30:33,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.12,260.0,259.88,400.0,400.1,900.0,900.0
23/06/26 13:30:34,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.24,260.0,259.76,400.0,400.15,900.0,900.8
23/06/26 13:30:35,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.76,260.0,260.24,400.0,399.85,900.0,901.6
23/06/26 13:30:36,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.88,260.0,260.12,400.0,399.9,900.0,897.6
23/06/26 13:30:37,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.0,260.0,260.0,400.0,399.95,900.0,898.4
23/06/26 13:30:38,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.12,260.0,259.88,400.0,400.0,900.0,899.2
23/06/26 13:30:39,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.24,260.0,259.76,400.0,400.05,900.0,900.0
23/06/26 13:30:40,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.76,260.0,260.24,400.0,400.1,900.0,900.8
23/06/26 13:30:41,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,119.88,260.0,260.12,400.0,400.15,900.0,901.6
23/06/26 13:30:42,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.0,260.0,260.0,400.0,399.85,900.0,897.6
23/06/26 13:30:43,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.12,260.0,259.88,400.0,399.9,900.0,898.4
23/06/26 13:30:44,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,120.24,260.0,259.76,400.0,399.95,900.0,899.2
23/06/26 13:30:45,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:46,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:47,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:48,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
23/06/26 13:30:49,DEMO_PECVD_OXIDE,Deposition,Recipe Running,120.0,138.0,260.0,239.0,400.0,405.2,900.0,820.0
